,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
588,Jean-Paul Belmondo,['(1933-04-09)'],['Actor'],"['Élodie Constantin(m.\xa01952; div.\xa01968)', 'Natty Tardivel\xa0[fr](m.\xa02002; div.\xa02008)']",Élodie Constantin(m. 1952; div. 1968),Natty Tardivel [fr](m. 2002; div. 2008),None,None
589,Andy Serkis,['(1964-04-20)'],"['Actor, film director, film producer']",['Lorraine Ashbourne (m.\xa02002)'],Lorraine Ashbourne (m. 2002),None,None,None
590,Matthew Broderick,['(1962-03-21)'],['Actorsinger'],['Sarah Jessica Parker (m.\xa01997)'],Sarah Jessica Parker (m. 1997),None,None,None
591,Dennis Hopper,"['(1936-05-17)', '(2010-05-29)']","['Actor, director, writer, film editor, photographer, artist']","['Brooke Hayward(m.\xa01961; div.\xa01969)', 'Michelle Phillips(m.\xa01970; div.\xa01970)', 'Daria Halprin(m.\xa01972; div.\xa01976)', 'Katherine LaNasa(m.\xa01989; div.\xa01992)', 'Victoria Duffy (m.\xa01996)']",Brooke Hayward(m. 1961; div. 1969),Michelle Phillips(m. 1970; div. 1970),Daria Halprin(m. 1972; div. 1976),Katherine LaNasa(m. 1989; div. 1992)
592,Michael Rooker,['(1955-04-06)'],['Actor'],['Margot Rooker (m.\xa01979)'],Margot Rooker (m. 1979),None,None,None
593,Vincent Gallo,['(1961-04-11)'],['Actor\nproducer\ncomposer\nfilm director\nscreenwriter\nmusician'],[],Never married,None,None,None
594,Toshirô Mifune,"['(1920-04-01)', '(1997-12-24)']",['Actor'],['Sachiko Yoshimine(m.\xa01950; her death\xa01995)'],Sachiko Yoshimine(m. 1950; her death 1995),None,None,None
595,Vincent Cassel,['(1966-11-23)'],['Actor\ndirector'],"['Monica Bellucci(m.\xa01999; div.\xa02013)', 'Tina Kunakey (m.\xa02018)']",Monica Bellucci(m. 1999; div. 2013),Tina Kunakey (m. 2018),None,None
596,J.K. Simmons,['(1955-01-09)'],['Actorvoice actor'],['Michelle Schumacher (m.\xa01996)'],Michelle Schumacher (m. 1996),None,None,None
597,Boris Karloff,"['(1887-11-23)', '(1969-02-02)']",['Actor'],"['Grace Harding(m.\xa01910; div.\xa01913)', 'Montana Laurena Williams(m.\xa01920; div.\xa01922)', 'Helene Vivian Soule(m.\xa01924; div.\xa01928)', 'Dorothy Stine(m.\xa01930; div.\xa01946)', 'Evelyn Hope Helmore(m.\xa01946; his death\xa01969)']",Grace Harding(m. 1910; div. 1913),Montana Laurena Williams(m. 1920; div. 1922),Helene Vivian Soule(m. 1924; div. 1928),Dorothy Stine(m. 1930; div. 1946)
598,Peter Lorre,"['(1904-06-26)', '(1964-03-23)']",['Actor'],"['Celia Lovsky(m.\xa01934; div.\xa01945)', 'Kaaren Verne(m.\xa01945; div.\xa01950)', 'Anne Marie Brenning (m.\xa01953)']",Celia Lovsky(m. 1934; div. 1945),Kaaren Verne(m. 1945; div. 1950),Anne Marie Brenning (m. 1953),None
599,Antonio Banderas,['(1960-08-10)'],"['Actor, producer, singer']","['Ana Leza(m.\xa01987; div.\xa01996)', 'Melanie Griffith(m.\xa01996; div.\xa02015)']",Ana Leza(m. 1987; div. 1996),Melanie Griffith(m. 1996; div. 2015),None,None
600,Paddy Considine,['(1973-09-05)'],['Actor\nfilm director\nscreenwriter\nmusician'],['Shelley Insley (m.\xa01991)'],Shelley Insley (m. 1991),None,None,None
601,Ryan Phillippe,['(1974-09-10)'],['Actor'],['Reese Witherspoon(m.\xa01999; div.\xa02007)'],Reese Witherspoon(m. 1999; div. 2007),None,None,None
602,Kerry Washington,['(1977-01-31)'],['Actress'],['Nnamdi Asomugha (m.\xa02013)'],Nnamdi Asomugha (m. 2013),None,None,None
603,Carrie-Anne Moss,['(1967-08-21)'],['Actress'],['Steven Roy (m.\xa01999)'],Steven Roy (m. 1999),None,None,None
604,Janet Leigh,"['(1927-07-06)', '(2004-10-03)']",['Actresssingerdancerauthor'],"['John Carlisle(m.\xa01942; annulled\xa01942)', 'Stanley Reames(m.\xa01945; div.\xa01949)', 'Tony Curtis(m.\xa01951; div.\xa01962)', 'Robert Brandt (m.\xa01962)']",John Carlisle(m. 1942; annulled 1942),Stanley Reames(m. 1945; div. 1949),Tony Curtis(m. 1951; div. 1962),Robert Brandt (m. 1962)
605,Catalina Sandino Moreno,['(1981-04-19)'],['Actress'],[],Never married,None,None,None
606,Samantha Morton,['(1977-05-13)'],['Actressscreenwriterdirector'],[],Never married,None,None,None
607,Keisha Castle-Hughes,['(1990-03-24)'],['Actress'],['Jonathan Morrison(m.\xa02013; div.\xa02016)'],Jonathan Morrison(m. 2013; div. 2016),None,None,None
608,Salma Hayek,['(1966-09-02)'],"['Actress, producer, model']",['François-Henri Pinault (m.\xa02009)'],François-Henri Pinault (m. 2009),None,None,None
609,Joan Allen,['(1956-08-20)'],['Actress'],['Peter Friedman(m.\xa01990; div.\xa02002)'],Peter Friedman(m. 1990; div. 2002),None,None,None
610,Janet McTeer,['(1961-08-05)'],[],[],Never married,None,None,None
611,Fernanda Montenegro,['(1929-10-16)'],['Actress'],['Fernando Torres(m.\xa01954; died\xa02008)'],Fernando Torres(m. 1954; died 2008),None,None,None
612,Kristin Scott Thomas,['(1960-05-24)'],['Actress'],['François Olivennes(m.\xa01987; div.\xa02005)'],François Olivennes(m. 1987; div. 2005),None,None,None
613,Brenda Blethyn,['(1946-02-20)'],['Actress'],"['Alan Blethyn(m.\xa01964; div.\xa01973)', 'Michael Mayhew (m.\xa02010)']",Alan Blethyn(m. 1964; div. 1973),Michael Mayhew (m. 2010),None,None
614,Elisabeth Shue,['(1963-10-06)'],['Actress'],['Davis Guggenheim (m.\xa01994)'],Davis Guggenheim (m. 1994),None,None,None
615,Miranda Richardson,['(1958-03-03)'],['Actress'],[],Never married,None,None,None
616,Stockard Channing,['(1944-02-13)'],['Actress'],"['Walter Channing(m.\xa01963; div.\xa01967)', 'Paul Schmidt(m.\xa01970; div.\xa01976)', 'David Debin(m.\xa01976; div.\xa01980)', 'David Rawle(m.\xa01980; div.\xa01988)']",Walter Channing(m. 1963; div. 1967),Paul Schmidt(m. 1970; div. 1976),David Debin(m. 1976; div. 1980),David Rawle(m. 1980; div. 1988)
617,Angela Bassett,['(1958-08-16)'],['Actress'],['Courtney B. Vance (m.\xa01997)'],Courtney B. Vance (m. 1997),None,None,None
618,Mary McDonnell,['(1952-04-28)'],['Actress'],['Randle Mell (m.\xa01984)'],Randle Mell (m. 1984),None,None,None
619,Lucille Ball,"['(1911-08-06)', '(1989-04-26)']","['Actress, comedian, model, film studio executive, TV producer']","['Desi Arnaz(m.\xa01940; div.\xa01960)', 'Gary Morton(m.\xa01961; her death\xa01989)']",Desi Arnaz(m. 1940; div. 1960),Gary Morton(m. 1961; her death 1989),None,None
620,Laura Dern,['(1967-02-10)'],"['Actress, activist, director, producer']",['Ben Harper(m.\xa02005; div.\xa02013)'],Ben Harper(m. 2005; div. 2013),None,None,None
621,Pauline Collins,['(1940-09-03)'],['Actress'],['John Alderton (m.\xa01969)'],John Alderton (m. 1969),None,None,None
622,Isabelle Adjani,['(1955-06-27)'],"['Actress, singer']",[],Never married,None,None,None
623,Melanie Griffith,['(1957-08-09)'],['Actress'],"['Don Johnson(m.\xa01976; div.\xa01976)', 'Steven Bauer(m.\xa01981; div.\xa01989)', 'Antonio Banderas(m.\xa01996; div.\xa02015)']",Don Johnson(m. 1976; div. 1976),Steven Bauer(m. 1981; div. 1989),Antonio Banderas(m. 1996; div. 2015),None
624,Sally Kirkland,['(1941-10-31)'],['Actress'],[],Never married,None,None,None
625,Marsha Mason,['(1942-04-03)'],"['Actress, director']","['Gary Campbell(m.\xa01965; div.\xa01970)', 'Neil Simon(m.\xa01973; div.\xa01983)']",Gary Campbell(m. 1965; div. 1970),Neil Simon(m. 1973; div. 1983),None,None
626,Freddie Highmore,['(1992-02-14)'],['Actor'],[],Never married,None,None,None
627,Michael J. Fox,['(1961-06-09)'],"['Actor, author, producer']",['Tracy Pollan (m.\xa01988)'],Tracy Pollan (m. 1988),None,None,None
628,Seth MacFarlane,['(1973-10-26)'],['Actor\nanimator\nfilmmaker\nsinger'],[],Never married,None,None,None
629,Jet Li,['(1963-04-26)'],['Actormartial artistdirectorfilm producerauthor'],"['Huang Qiuyan(m.\xa01987; div.\xa01990)', 'Nina Li Chi (m.\xa01999)']",Huang Qiuyan(m. 1987; div. 1990),Nina Li Chi (m. 1999),None,None
630,Chuck Norris,['(1940-03-10)'],"['Actor, martial artist, film producer, screenwriter, air policeman (U.S. Air Force)']","['Dianne Holechek(m.\xa01958; div.\xa01989)', ""Gena O'Kelley (m.\xa01998)""]",Dianne Holechek(m. 1958; div. 1989),Gena O'Kelley (m. 1998),None,None
631,Sam Rockwell,['(1968-11-05)'],['Actor'],[],Never married,None,None,None
632,Takashi Shimura,"['(1905-03-12)', '(1982-02-11)']",['Actor'],[],Never married,None,None,None
633,Richard E. Grant,['(1957-05-05)'],['Actor'],['Joan Washington (m.\xa01986)'],Joan Washington (m. 1986),None,None,None
634,Leslie Nielsen,"['(1926-02-11)', '(2010-11-28)']","['Actor, comedian, producer']","['Monica Boyar(m.\xa01950; div.\xa01956)', 'Alisande Ullman(m.\xa01958; div.\xa01973)', 'Brooks Oliver(m.\xa01981; div.\xa01983)', 'Barbaree Earl (m.\xa02001)']",Monica Boyar(m. 1950; div. 1956),Alisande Ullman(m. 1958; div. 1973),Brooks Oliver(m. 1981; div. 1983),Barbaree Earl (m. 2001)
635,Simon Pegg,['(1970-02-14)'],"['Actor, comedian, screenwriter, producer']",['Maureen McCann (m.\xa02005)'],Maureen McCann (m. 2005),None,None,None
636,John Malkovich,['(1953-12-09)'],['Actor\ndirector\nproducer\nfashion designer'],['Glenne Headly(m.\xa01982; div.\xa01988)'],Glenne Headly(m. 1982; div. 1988),None,None,None
637,Michael Shannon,['(1974-08-07)'],['Actor\nmusician'],[],Never married,None,None,None
638,Martin Sheen,['(1940-08-03)'],['Actor\nactivist'],['Janet Templeton (m.\xa01961)'],Janet Templeton (m. 1961),None,None,None
639,Alan Rickman,"['(1946-02-21)', '(2016-01-14)']","['Actor, director']",['Rima Horton (m.\xa02012)'],Rima Horton (m. 2012),None,None,None
640,Jackie Earle Haley,['(1961-07-14)'],"['Actor,Comedian']",[],Never married,None,None,None
641,Montgomery Clift,"['(1920-10-17)', '(1966-07-23)']",['Actor'],[],Never married,None,None,None
642,James Spader,['(1960-02-07)'],['Actor'],['Victoria Kheel(m.\xa01987; div.\xa02004)'],Victoria Kheel(m. 1987; div. 2004),None,None,None
643,Eric Bana,['(1968-08-09)'],['Actorcomedian'],['Rebecca Gleeson (m.\xa01997)'],Rebecca Gleeson (m. 1997),None,None,None
644,Romain Duris,['(1974-05-28)'],['Actor'],[],Never married,None,None,None
645,Jacki Weaver,['(1947-05-25)'],['Actress'],"['David Price(m.\xa01966; div.\xa01970)', 'Max Hensser(m.\xa01975; div.\xa01977)', 'Derryn Hinch(m.\xa01983; div.\xa01996)', 'Derryn Hinch(m.\xa01997; div.\xa01998)', 'Sean Taylor (m.\xa02003)']",David Price(m. 1966; div. 1970),Max Hensser(m. 1975; div. 1977),Derryn Hinch(m. 1983; div. 1996),Derryn Hinch(m. 1997; div. 1998)
646,Bérénice Bejo,['(1976-07-07)'],[],[],Never married,None,None,None
647,Hailee Steinfeld,['(1996-12-11)'],['Actresssinger'],[],Never married,None,None,None
648,Jennifer Jason Leigh,['(1962-02-05)'],['Actress'],['Noah Baumbach(m.\xa02005; div.\xa02013)'],Noah Baumbach(m. 2005; div. 2013),None,None,None
649,Kathleen Quinlan,['(1954-11-19)'],['Actress'],['Bruce Abbott (m.\xa01994)'],Bruce Abbott (m. 1994),None,None,None
650,Taraji P. Henson,['(1970-09-11)'],['Actress\nauthor'],[],Never married,None,None,None
651,Amy Ryan,['(1969-11-30)'],['Actress'],['Eric Slovin (m.\xa02011)'],Eric Slovin (m. 2011),None,None,None
652,Ruby Dee,"['(1922-10-27)', '(2014-06-11)']","['Actress, poet, playwright, screenwriter, journalist, activist']",['Ossie Davis(m.\xa01948; died\xa02005)'],Ossie Davis(m. 1948; died 2005),None,None,None
653,Jill Clayburgh,"['(1944-04-30)', '(2010-11-05)']",['Actress'],['David Rabe(m.\xa01979; her death\xa02010)'],David Rabe(m. 1979; her death 2010),None,None,None
654,Adriana Barraza,['(1956-03-05)'],"['Actress, acting teacher, director']","['Carlos Valsagna(m.\xa01978; div.\xa01985)', 'Arnaldo Pipke (m.\xa02005)']",Carlos Valsagna(m. 1978; div. 1985),Arnaldo Pipke (m. 2005),None,None
655,Rinko Kikuchi,['(1981-01-06)'],['Actress'],['Shōta Sometani (m.\xa02014)'],Shōta Sometani (m. 2014),None,None,None
656,Catherine Keener,['(1959-03-23)'],['Actress'],['Dermot Mulroney(m.\xa01990; div.\xa02007)'],Dermot Mulroney(m. 1990; div. 2007),None,None,None
657,Charlotte Rampling,['(1946-02-05)'],"['Actress, model, singer']","['Bryan Southcombe(m.\xa01972; div.\xa01976)', 'Jean-Michel Jarre(m.\xa01978; div.\xa01998)']",Bryan Southcombe(m. 1972; div. 1976),Jean-Michel Jarre(m. 1978; div. 1998),None,None
658,Sophie Okonedo,['(1968-08-11)'],"['Actress, singer']",[],Never married,None,None,None
659,Patricia Clarkson,['(1959-12-29)'],['Actress'],[],Never married,None,None,None
660,Shohreh Aghdashloo,['(1952-05-11)'],['Actress'],"['Aydin Aghdashloo(m.\xa01972; div.\xa01979)', 'Houshang Touzie (m.\xa01987)']",Aydin Aghdashloo(m. 1972; div. 1979),Houshang Touzie (m. 1987),None,None
661,Lindsay Lohan,['(1986-07-02)'],['Actress\nsinger\nfashion designer'],[],Never married,None,None,None
662,Michelle Trachtenberg,['(1985-10-11)'],['Actress'],[],Never married,None,None,None
663,Chloë Sevigny,['(1974-11-18)'],['Actressmodelfashion designer'],[],Never married,None,None,None
664,Lynn Redgrave,"['(1943-03-08)', '(2010-05-02)']",['Actress'],['John Clark(m.\xa01967; div.\xa02000)'],John Clark(m. 1967; div. 2000),None,None,None
665,Rachel Griffiths,['(1968-12-18)'],"['Actress, director']",['Andrew Taylor (m.\xa02002)'],Andrew Taylor (m. 2002),None,None,None
666,Margot Robbie,['(1990-07-02)'],"['Actress, film producer']",['Tom Ackerley (m.\xa02016)'],Tom Ackerley (m. 2016),None,None,None
667,Lili Taylor,['(1967-02-20)'],['Actress'],['Nick Flynn (m.\xa02009)'],Nick Flynn (m. 2009),None,None,None
668,Robin Weigert,['(1969-07-07)'],['Actress'],[],Never married,None,None,None
669,Lake Bell,['(1979-03-24)'],"['Actress, director, screenwriter']",['Scott Campbell (m.\xa02013)'],Scott Campbell (m. 2013),None,None,None
670,Claude Rains,"['(1889-11-10)', '(1967-05-30)']",['Actor'],"['Isabel Jeans(m.\xa01913; div.\xa01915)', 'Marie Hemingway(m.\xa01920; div.\xa01920)', 'Beatriz Thomas(m.\xa01924; div.\xa01935)', 'Frances Propper(m.\xa01935; div.\xa01956)', 'Agi Jambor(m.\xa01959; div.\xa01960)', 'Rosemary Clark Schrode(m.\xa01960; died\xa01964)']",Isabel Jeans(m. 1913; div. 1915),Marie Hemingway(m. 1920; div. 1920),Beatriz Thomas(m. 1924; div. 1935),Frances Propper(m. 1935; div. 1956)
671,Steve Buscemi,['(1957-12-13)'],['Actor\ndirector'],['Jo Andres (m.\xa01987)'],Jo Andres (m. 1987),None,None,None
672,John Rhys-Davies,['(1944-05-05)'],"['Actor, voice actor, producer']",['Suzanne Wilkinson(m.\xa01966; died\xa02010)'],Suzanne Wilkinson(m. 1966; died 2010),None,None,None
673,Jean-Louis Trintignant,['(1930-12-11)'],['Actor'],[],Never married,None,None,None
674,Joseph Cotten,"['(1905-05-15)', '(1994-02-06)']",['Actor'],[],Never married,None,None,None
675,Barry Pepper,['(1970-04-04)'],['Actor'],['Cindy Pepper (m.\xa01997)'],Cindy Pepper (m. 1997),None,None,None
676,Erich von Stroheim,"['(1885-09-22)', '(1957-05-12)']","['Actor, director, screenwriter, producer']",[],Never married,None,None,None
677,Christopher Lloyd,['(1938-10-22)'],"['Actor, voice actor, comedian']","['Catherine Boyd(m.\xa01959; div.\xa01971)', 'Kay Tornborg(m.\xa01974; div.\xa01987)', 'Carol Ann Vanek(m.\xa01988; div.\xa01991)', 'Jane Walker Wood(m.\xa01992; div.\xa02005)', 'Lisa Loiacono (m.\xa02016)']",Catherine Boyd(m. 1959; div. 1971),Kay Tornborg(m. 1974; div. 1987),Carol Ann Vanek(m. 1988; div. 1991),Jane Walker Wood(m. 1992; div. 2005)
678,Ben Foster,['(1980-10-29)'],['Actor'],['Laura Prepon (m.\xa02018)'],Laura Prepon (m. 2018),None,None,None
679,Joel McCrea,"['(1905-11-05)', '(1990-10-20)']",[],['Frances Dee(m.\xa01933; his death\xa01990)'],Frances Dee(m. 1933; his death 1990),None,None,None
680,Min-sik Choi,['(1962-05-30)'],['Actor'],[],Never married,None,None,None
681,Ewan McGregor,['(1971-03-31)'],['Actor'],['Eve Mavrakis(m.\xa01995; sep.\xa02017)'],Eve Mavrakis(m. 1995; sep. 2017),None,None,None
682,Gael García Bernal,['(1978-11-30)'],"['Actor, film director, model, film producer']",[],Never married,None,None,None
683,Bruno Ganz,['(1941-03-22)'],['Actor'],[],Never married,None,None,None
684,Sean Astin,['(1971-02-25)'],"['Actor, voice actor, director, producer']",['Christine Harrell (m.\xa01992)'],Christine Harrell (m. 1992),None,None,None
685,Irrfan Khan,['(1967-01-07)'],"['Film actor, producer']",['Sutapa Sikdar (m.\xa01995)'],Sutapa Sikdar (m. 1995),None,None,None
686,Michael C. Hall,['(1971-02-01)'],['Actor'],"['Amy Spanger(m.\xa02002; div.\xa02007)', 'Jennifer Carpenter(m.\xa02008; div.\xa02011)', 'Morgan Macgregor (m.\xa02016)']",Amy Spanger(m. 2002; div. 2007),Jennifer Carpenter(m. 2008; div. 2011),Morgan Macgregor (m. 2016),None
687,Roy Scheider,"['(1932-11-10)', '(2008-02-10)']","['Actor, boxer']","['Cynthia Bebout(m.\xa01962; div.\xa01986)', 'Brenda King (m.\xa01989)']",Cynthia Bebout(m. 1962; div. 1986),Brenda King (m. 1989),None,None
688,Casey Affleck,['(1975-08-12)'],['Actor\nDirector'],['Summer Phoenix(m.\xa02006; div.\xa02017)'],Summer Phoenix(m. 2006; div. 2017),None,None,None
689,Gary Busey,['(1944-06-29)'],['Actor'],"['Judy Helkenberg(m.\xa01968; div.\xa01990)', 'Tiani Warden(m.\xa01996; div.\xa02001)']",Judy Helkenberg(m. 1968; div. 1990),Tiani Warden(m. 1996; div. 2001),None,None
690,Norman Reedus,['(1969-01-06)'],"['Actor, model, photographer, director']",[],Never married,None,None,None
691,Jeff Daniels,['(1955-02-19)'],['Actor\nmusician\nplaywright'],['Kathleen Rosemary Treado (m.\xa01979)'],Kathleen Rosemary Treado (m. 1979),None,None,None
692,Stanley Tucci,['(1960-11-11)'],"['Actor, writer, producer, director']","['Kathryn Spath-Tucci(m.\xa01995; died\xa02009)', 'Felicity Blunt (m.\xa02012)']",Kathryn Spath-Tucci(m. 1995; died 2009),Felicity Blunt (m. 2012),None,None
693,Kiefer Sutherland,['(1966-12-21)'],['Actor\nfilm director\nfilm producer\nsinger-songwriter'],"['Camelia Kath (m.\xa01987–1990)', 'Elizabeth Kelly Winn (m.\xa01996–2004)']",Camelia Kath (m. 1987–1990),Elizabeth Kelly Winn (m. 1996–2004),None,None
694,Léa Seydoux,['(1985-07-01)'],['Actress'],[],Never married,None,None,None
695,Dakota Johnson,['(1989-10-04)'],['ActressModel'],[],Never married,None,None,None
696,Julie Delpy,['(1969-12-21)'],['Actress'],[],Never married,None,None,None
697,Linda Hamilton,['(1956-09-26)'],['Actress'],"['Bruce Abbott(m.\xa01982; div.\xa01989)', 'James Cameron(m.\xa01997; div.\xa01999)']",Bruce Abbott(m. 1982; div. 1989),James Cameron(m. 1997; div. 1999),None,None
698,Carrie Fisher,"['(1956-10-21)', '(2016-12-27)']",['Actress\nwriter\ncomedian\nactivist'],['Paul Simon(m.\xa01983; div.\xa01984)'],Paul Simon(m. 1983; div. 1984),None,None,None
699,Pam Grier,['(1949-05-26)'],['Actress'],[],Never married,None,None,None
700,Björk,['(1965-11-21)'],['Singer\nsongwriter\nactress\nrecord producer\nDJ'],['Þór Eldon (m.\xa01986–1987)'],Þór Eldon (m. 1986–1987),None,None,None
701,Emily Browning,['(1988-12-07)'],"['Actress, singer']",[],Never married,None,None,None
702,Juliette Lewis,['(1973-06-21)'],['Actress\nsinger'],['Steve Berra(m.\xa01999; div.\xa02003)'],Steve Berra(m. 1999; div. 2003),None,None,None
703,Sarah Jessica Parker,['(1965-03-25)'],"['Actress, producer, designer']",['Matthew Broderick (m.\xa01997)'],Matthew Broderick (m. 1997),None,None,None
704,Piper Laurie,['(1932-01-22)'],['Actress'],['Joe Morgenstern(m.\xa01962; div.\xa01982)'],Joe Morgenstern(m. 1962; div. 1982),None,None,None
705,Miley Cyrus,['(1992-11-23)'],['Singer\nsongwriter\nactress'],[],Never married,None,None,None
706,Anna Friel,['(1976-07-12)'],['Actress'],[],Never married,None,None,None
707,Gloria Stuart,"['(1910-07-04)', '(2010-09-26)']","['Actress, artist, fine printer']","['Blair Gordon Newell(m.\xa01930; div.\xa01934)', 'Arthur Sheekman(m.\xa01934; died\xa01978)']",Blair Gordon Newell(m. 1930; div. 1934),Arthur Sheekman(m. 1934; died 1978),None,None
708,Talia Shire,['(1946-04-25)'],['Actress'],"['David Shire(m.\xa01970; div.\xa01980)', 'Jack Schwartzman(m.\xa01980; died\xa01994)']",David Shire(m. 1970; div. 1980),Jack Schwartzman(m. 1980; died 1994),None,None
709,Gal Gadot,['(1985-04-30)'],['Actressmodelproducer'],['Yaron Varsano (m.\xa02008)'],Yaron Varsano (m. 2008),None,None,None
710,Sue Lyon,['(1946-07-10)'],['Actress'],"['Hampton Fancher(m.\xa01963; div.\xa01965)', 'Roland Harrison(m.\xa01971; div.\xa01972)', 'Cotton Adamson(m.\xa01973; div.\xa01974)', 'Edward Weathers(m.\xa01983; div.\xa01984)', 'Richard Rudman(m.\xa01985; div.\xa02002)']",Hampton Fancher(m. 1963; div. 1965),Roland Harrison(m. 1971; div. 1972),Cotton Adamson(m. 1973; div. 1974),Edward Weathers(m. 1983; div. 1984)
711,Olivia Newton-John,['(1948-09-26)'],"['Singer, songwriter, actress, entrepreneur, activist']","['Matt Lattanzi(m.\xa01984; div.\xa01995)', 'John Easterling (m.\xa02008)']",Matt Lattanzi(m. 1984; div. 1995),John Easterling (m. 2008),None,None
712,Minnie Driver,['(1970-01-31)'],"['Actress, singer-songwriter']",[],Never married,None,None,None
713,Teri Garr,[],['Actressdancer'],"[""John O'Neil(m.\xa01993; div.\xa01996)""]",John O'Neil(m. 1993; div. 1996),None,None,None
714,Keri Russell,['(1976-03-23)'],"['Actress, dancer']",['Shane Deary(m.\xa02007; separated\xa02013)'],Shane Deary(m. 2007; separated 2013),None,None,None
715,Jean Seberg,"['(1938-11-13)', '(1979-08-30)']",['Actress'],"['François Moreuil (m.\xa01958–1960)', 'Romain Gary (m.\xa01962–1970)', 'Dennis Charles Berry (m.\xa01972–1979)']",François Moreuil (m. 1958–1960),Romain Gary (m. 1962–1970),Dennis Charles Berry (m. 1972–1979),None
716,Sarah Polley,['(1979-01-08)'],"['Actress, writer, director, political activist']","['David Wharnsby(m.\xa02003; div.\xa02008)', 'David Sandomierski (m.\xa02011)']",David Wharnsby(m. 2003; div. 2008),David Sandomierski (m. 2011),None,None
717,Kate Capshaw,['(1953-11-03)'],['Actress'],"['Robert Capshaw(m.\xa01976; div.\xa01980)', 'Steven Spielberg (m.\xa01991)']",Robert Capshaw(m. 1976; div. 1980),Steven Spielberg (m. 1991),None,None
718,Josh Brolin,['(1968-02-12)'],['Actor'],"['Alice Adair(m.\xa01988; div.\xa01994)', 'Diane Lane(m.\xa02004; div.\xa02013)', 'Kathryn Boyd (m.\xa02016)']",Alice Adair(m. 1988; div. 1994),Diane Lane(m. 2004; div. 2013),Kathryn Boyd (m. 2016),None
719,Hal Holbrook,['(1925-02-17)'],"['Actor, director, writer']","['Ruby Elaine Johnston(m.\xa01945; div.\xa01965)', 'Carol Eve Rossen(m.\xa01966; div.\xa01979)', 'Dixie Carter(m.\xa01984; died\xa02010)']",Ruby Elaine Johnston(m. 1945; div. 1965),Carol Eve Rossen(m. 1966; div. 1979),Dixie Carter(m. 1984; died 2010),None
720,Djimon Hounsou,['(1964-04-24)'],"['Actor, model']",[],Never married,None,None,None
721,Matt Dillon,['(1964-02-18)'],"['Actor, director']",[],Never married,None,None,None
722,Alan Alda,['(1936-01-28)'],"['Actor, author, activist, director, screenwriter, comedian']",['Arlene Alda (m.\xa01957)'],Arlene Alda (m. 1957),None,None,None
723,Thomas Haden Church,['(1960-06-17)'],"['Actor, director, writer']",[],Never married,None,None,None
724,Clive Owen,['(1964-10-03)'],['Actor'],['Sarah-Jane Fenton (m.\xa01995)'],Sarah-Jane Fenton (m. 1995),None,None,None
725,Ken Watanabe,['(1959-10-21)'],['Actor'],"['Yumiko Watanabe(m.\xa01983; div.\xa02005)', 'Kaho Minami(m.\xa02005; div.\xa02018)']",Yumiko Watanabe(m. 1983; div. 2005),Kaho Minami(m. 2005; div. 2018),None,None
726,Suraj Sharma,['(1993-03-21)'],['Actor'],[],Never married,None,None,None
727,John C. Reilly,['(1965-05-24)'],"['Actor, comedian, singer, screenwriter, producer']",['Alison Dickey (m.\xa01992)'],Alison Dickey (m. 1992),None,None,None
728,Michael Clarke Duncan,"['(1957-12-10)', '(2012-09-03)']",['Actor'],[],Never married,None,None,None
729,Haley Joel Osment,['(1988-04-10)'],['Actor'],[],Never married,None,None,None
730,Greg Kinnear,['(1963-06-17)'],"['Actor, television personality']",['Helen Labdon (m.\xa01999)'],Helen Labdon (m. 1999),None,None,None
731,Burt Reynolds,"['(1936-02-11)', '(2018-09-06)']","['Actor, director, producer']","['Judy Carne(m.\xa01963; div.\xa01965)', 'Loni Anderson(m.\xa01988; div.\xa01993)']",Judy Carne(m. 1963; div. 1965),Loni Anderson(m. 1988; div. 1993),None,None
732,Robert Forster,['(1941-07-13)'],['Actor'],"['June Provenzano(m.\xa01966; div.\xa01975)', 'Zivia Forster(m.\xa01978; div.\xa01980)']",June Provenzano(m. 1966; div. 1975),Zivia Forster(m. 1978; div. 1980),None,None
733,Jason Schwartzman,['(1980-06-26)'],"['Actor, screenwriter, musician']",['Brady Cunningham (m.\xa02009)'],Brady Cunningham (m. 2009),None,None,None
734,William H. Macy,['(1950-03-13)'],['Actor'],['Felicity Huffman (m.\xa01997)'],Felicity Huffman (m. 1997),None,None,None
735,Armin Mueller-Stahl,['(1930-12-17)'],"['Actor, writer']",['Gabriele Scholz  (m.\xa01973)'],Gabriele Scholz  (m. 1973),None,None,None
736,Tim Roth,['(1961-05-14)'],"['Actor, film director']",['Niki Butler (m.\xa01993)'],Niki Butler (m. 1993),None,None,None
737,James Cromwell,['(1940-01-27)'],['Actor'],"['Anne Ulvestad(m.\xa01976; div.\xa01986)', 'Julie Cobb(m.\xa01986; div.\xa02005)', 'Anna Stuart (m.\xa02014)']",Anne Ulvestad(m. 1976; div. 1986),Julie Cobb(m. 1986; div. 2005),Anna Stuart (m. 2014),None
738,Chazz Palminteri,['(1952-05-15)'],"['Actor, screenwriter, film producer, playwright']",['Gianna Ranaudo (m.\xa01992)'],Gianna Ranaudo (m. 1992),None,None,None
739,Gary Sinise,"['(1955-03-17)', '(1973)']","['Actor, director, musician']",['Moira Harris (m.\xa01981)'],Moira Harris (m. 1981),None,None,None
