,Actor_name,Born,Occupation,spouse,spouse_first,spouse_second,spouse_third,spouse_fourth
486,Karl Urban,['(1972-06-07)'],['Actor'],['Natalie Wihongi(m.\xa02004; sep.\xa02014)'],Natalie Wihongi(m. 2004; sep. 2014),None,None,None
487,Logan Lerman,['(1992-01-19)'],['Actor'],[],Never married,None,None,None
488,Dave Franco,['(1985-06-12)'],['Actor'],['Alison Brie (m.\xa02017)'],Alison Brie (m. 2017),None,None,None
489,Tom Hiddleston,['(1981-02-09)'],"['Actor, producer, musician']",[],Never married,None,None,None
490,Peter Dinklage,['(1969-06-11)'],"['Actor, film producer']",['Erica Schmidt (m.\xa02005)'],Erica Schmidt (m. 2005),None,None,None
491,Taylor Kitsch,['(1981-04-08)'],"['Actor, model']",[],Never married,None,None,None
492,Alex Pettyfer,['(1990-04-10)'],"['Actor, model']",[],Never married,None,None,None
493,Guy Pearce,['(1967-10-05)'],"['Actor, musician']",['Kate Mestitz(m.\xa01997; div.\xa02015)'],Kate Mestitz(m. 1997; div. 2015),None,None,None
494,Mark Ruffalo,['(1967-11-22)'],"['Actor, producer, political activist']",['Sunrise Coigney (m.\xa02000)'],Sunrise Coigney (m. 2000),None,None,None
495,Mickey Rourke,['(1952-09-16)'],"['Actor, boxer, screenwriter, music supervisor']","['Debra Feuer (m.\xa01981–1989)', 'Carré Otis (m.\xa01992–1998)']",Debra Feuer (m. 1981–1989),Carré Otis (m. 1992–1998),None,None
496,Frank Langella,['(1938-01-01)'],['Actor'],['Ruth Weil(m.\xa01977; div.\xa01996)'],Ruth Weil(m. 1977; div. 1996),None,None,None
497,Eddie Redmayne,['(1982-01-06)'],['Actor'],['Hannah Bagshawe (m.\xa02014)'],Hannah Bagshawe (m. 2014),None,None,None
498,David Strathairn,['(1949-01-26)'],['Actor'],['Logan Goodman (m.\xa01980)'],Logan Goodman (m. 1980),None,None,None
499,Terrence Howard,['(1969-03-11)'],"['Actor, singer-songwriter, record producer']","['Lori McCommas(m.\xa01994; div.\xa02003)', 'Lori McCommas(m.\xa02005; div.\xa02007)', 'Michelle Ghent(m.\xa02010; div.\xa02013)', 'Mira Pak (m.\xa02013)']",Lori McCommas(m. 1994; div. 2003),Lori McCommas(m. 2005; div. 2007),Michelle Ghent(m. 2010; div. 2013),Mira Pak (m. 2013)
500,Don Cheadle,['(1964-11-29)'],"['Actor, film producer, director, writer, author']",[],Never married,None,None,None
501,Tom Wilkinson,['(1948-02-05)'],['Actor'],['Diana Hardcastle (m.\xa01998)'],Diana Hardcastle (m. 1998),None,None,None
502,Richard Farnsworth,"['(1920-09-01)', '(2000-10-06)', '\ufeff / 34.145; -118.320', '\ufeff / 34.145; -118.320']","['Stuntman, actor']",['Margaret Hill(m.\xa01947; her death\xa01985)'],Margaret Hill(m. 1947; her death 1985),None,None,None
503,Nick Nolte,['(1941-02-08)'],"['Actor, model']",[],Never married,None,None,None
504,AnnaSophia Robb,['(1993-12-08)'],"['Actress, singer, model']",[],Never married,None,None,None
505,Gemma Arterton,['(1986-02-02)'],['Actress'],['Stefano Catelli(m.\xa02010; div.\xa02015)'],Stefano Catelli(m. 2010; div. 2015),None,None,None
506,Olivia Wilde,['(1984-03-10)'],['Actress\nmodel\nfilmmaker'],['Tao Ruspoli(m.\xa02003; div.\xa02011)'],Tao Ruspoli(m. 2003; div. 2011),None,None,None
507,Isla Fisher,['(1976-02-03)'],"['Actress, author']",['Sacha Baron Cohen (m.\xa02010)'],Sacha Baron Cohen (m. 2010),None,None,None
508,Shailene Woodley,['(1991-11-15)'],['Actressactivist'],[],Never married,None,None,None
509,Rebel Wilson,['(1980-03-02)'],['Actresswriterproducersinger'],[],Never married,None,None,None
510,Emma Roberts,['(1991-02-10)'],['Actresssinger'],[],Never married,None,None,None
511,Amber Heard,['(1986-04-22)'],['Actress'],['Johnny Depp(m.\xa02015; div.\xa02017)'],Johnny Depp(m. 2015; div. 2017),None,None,None
512,Teresa Palmer,['(1986-02-26)'],"['Actress, model, writer, producer']",['Mark Webber (m.\xa02013)'],Mark Webber (m. 2013),None,None,None
513,Saoirse Ronan,['(1994-04-12)'],['Actress'],[],Never married,None,None,None
514,Elizabeth Banks,['(1974-02-10)'],"['Actress, director, model, producer']",['Max Handelman (m.\xa02003)'],Max Handelman (m. 2003),None,None,None
515,Ida Lupino,"['(1918-02-04)', '(1995-08-03)']","['Actress, singer, director, producer']","['Louis Hayward(m.\xa01938; div.\xa01945)', 'Collier Young(m.\xa01948; div.\xa01951)', 'Howard Duff(m.\xa01951; div.\xa01984)']",Louis Hayward(m. 1938; div. 1945),Collier Young(m. 1948; div. 1951),Howard Duff(m. 1951; div. 1984),None
516,Natalie Dormer,['(1982-02-11)'],['Actress'],[],Never married,None,None,None
517,Brittany Snow,['(1986-03-09)'],['ActressproducerDirectorsinger'],[],Never married,None,None,None
518,Kate Mara,['(1983-02-27)'],"['Actress, fashion model']",['Jamie Bell (m.\xa02017)'],Jamie Bell (m. 2017),None,None,None
519,Julianne Hough,['(1988-07-20)'],['Danceractresssinger'],['Brooks Laich (m.\xa02017)'],Brooks Laich (m. 2017),None,None,None
520,Lily Collins,['(1989-03-18)'],"['Actress, model, writer']",[],Never married,None,None,None
521,Cobie Smulders,['(1982-04-03)'],['Actress\nmodel'],['Taran Killam (m.\xa02012)'],Taran Killam (m. 2012),None,None,None
522,Alice Eve,['(1982-02-06)'],['Actress'],['Alex Cowper-Smith(m.\xa02014; div.\xa02017)'],Alex Cowper-Smith(m. 2014; div. 2017),None,None,None
523,Jamie Chung,['(1983-04-10)'],['Actress'],['Bryan Greenberg (m.\xa02015)'],Bryan Greenberg (m. 2015),None,None,None
524,Noomi Rapace,['(1979-12-28)'],['Actress'],['Ola Rapace(m.\xa02001; div.\xa02011)'],Ola Rapace(m. 2001; div. 2011),None,None,None
525,Blake Lively,['(1987-08-25)'],['Actress'],['Ryan Reynolds (m.\xa02012)'],Ryan Reynolds (m. 2012),None,None,None
526,Maggie Grace,['(1983-09-21)'],"['Actress, model']",['Brent Bushnell (m.\xa02017)'],Brent Bushnell (m. 2017),None,None,None
527,Jessica Biel,['(1982-03-03)'],"['Actress, model, producer, singer']",['Justin Timberlake (m.\xa02012)'],Justin Timberlake (m. 2012),None,None,None
528,Eva Green,['(1980-07-06)'],['Actressmodel'],[],Never married,None,None,None
529,Peter Fonda,['(1940-02-23)'],['Actor'],"['Susan Jane Brewer(m.\xa01961; div.\xa01974)', 'Portia Rebecca Crockett(m.\xa01975; div.\xa02011)', 'Margaret DeVogelaere (m.\xa02011)']",Susan Jane Brewer(m. 1961; div. 1974),Portia Rebecca Crockett(m. 1975; div. 2011),Margaret DeVogelaere (m. 2011),None
530,Woody Harrelson,['(1961-07-23)'],"['Actor, playwright']","['Nancy Simon(m.\xa01985; div.\xa01986)', 'Laura Louie (m.\xa02008)']",Nancy Simon(m. 1985; div. 1986),Laura Louie (m. 2008),None,None
531,Billy Bob Thornton,['(1955-08-04)'],"['Actor, filmmaker, singer, songwriter, musician']","['Melissa Lee Gatlin(m.\xa01978; div.\xa01980)', 'Toni Lawrence(m.\xa01986; div.\xa01988)', 'Cynda Williams(m.\xa01990; div.\xa01992)', 'Pietra Dawn Cherniak(m.\xa01993; div.\xa01997)', 'Angelina Jolie(m.\xa02000; div.\xa02003)', 'Connie Angland (m.\xa02014)']",Melissa Lee Gatlin(m. 1978; div. 1980),Toni Lawrence(m. 1986; div. 1988),Cynda Williams(m. 1990; div. 1992),Pietra Dawn Cherniak(m. 1993; div. 1997)
532,Idris Elba,['(1972-09-06)'],"['Actor, producer, director, musician, DJ']",[],Never married,None,None,None
